section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,8,5,1739,18081.349109844523,45042.38354840057,23879.588754398643,10.397555554827212,25.901313138815738,13.73179341828559,-1.4910963930162109,-0.3206751669540646,0.46984180513585194
BUCKET,8,6,1130,11368.86786229429,37151.479284523346,16306.018945016072,10.060945010879902,32.87741529603836,14.43010526107617,-2.267825761942316,-0.43426936987245823,0.5610936829692035
BUCKET,8,7,155,1451.7396206796357,5070.968685152995,1884.782353662662,9.366062068900876,32.715927000987065,12.159886152662336,-2.493029061767294,-0.2982922879657277,0.6283190706381188
BUCKET,9,1,3445,42519.16885921413,51494.27470610536,54721.42113077517,12.342284139104246,14.94753982760678,15.884302215029077,-0.21108375557878012,-0.28698237992290254,-0.06267000444395388
BUCKET,9,2,3138,33176.3181755319,38512.43135836562,41780.293861013495,10.572440463840632,12.27292267634341,13.314306520399457,-0.16084102987561755,-0.25934088405949685,-0.08485214740767177
BUCKET,9,3,2884,26542.89795790518,36208.209242092606,41705.85797698925,9.203501372366567,12.554857573541126,14.461115803394332,-0.36413926239387284,-0.5712624161510647,-0.15183431740958753
BUCKET,9,4,2633,24641.142404867845,36388.67264444662,34378.28519390151,9.358580480390371,13.820232679242924,13.05669775689385,-0.47674454562861723,-0.39515792851836684,0.05524761703150283
BUCKET,9,5,2959,26269.8249270037,38906.70520110945,38353.0212386155,8.87794015782484,13.148599256880518,12.961480648399968,-0.48104166317133856,-0.45996485873764037,0.014231067874597492
BUCKET,9,6,1071,9109.473092455048,17129.471104298253,15479.58746391723,8.505577117138234,15.993903925581936,14.45339632485269,-0.8804019651241735,-0.6992846135895887,0.0963184228126589
BUCKET,9,7,335,2971.5276417514133,5052.435563837214,4244.975593481446,8.87023176642213,15.081897205484221,12.67156893576551,-0.700282202611219,-0.42854992625256694,0.15981598580596657
TOTAL,TOTAL,TOTAL,68097,750745.1751950791,1586881.2849320483,987061.1031615639,11.02464389319763,23.303248086289386,14.494927869973184,-1.1137415695275052,-0.31477515377315446,0.37798680182693645
