date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-14,7,0.019178082191780823,67,0.1504441479074975,0.1,3.0,0.04093662220819979
2023-02-14,8,0.021917808219178082,67,0.15261909460196948,-0.17163919183308077,3.0,0.02033679994699361
2023-02-14,9,0.024657534246575342,86,0.16310712844797254,-0.13743413588854933,3.0,0.029042101462015003
2023-02-14,10,0.0273972602739726,106,0.16440000238804653,-0.31604556091913,3.0,0.025050858520093044
2023-02-14,13,0.03561643835616438,88,0.14826035166155305,-0.32657442462543096,3.0,0.012642662143472145
2023-02-14,14,0.038356164383561646,138,0.14815517044893742,-0.34413327344518774,3.0,0.017494069449756105
2023-02-14,15,0.0410958904109589,88,0.15087545199856542,-0.4101297685152285,3.0,0.006264889191033552
2023-02-14,16,0.043835616438356165,93,0.15479302713396326,-0.3621350177052468,3.0,0.010714034499491702
2023-02-14,17,0.04657534246575343,124,0.154420660730643,-0.4848328686559546,3.0,0.007223182465773001
2023-02-14,20,0.0547945205479452,102,0.14527939492952482,-0.4166194423295012,2.926294506767739,0.005153994523480485
2023-02-14,21,0.057534246575342465,73,0.1496844985174441,-0.4141645823668645,3.0,0.0067375710172145045
2023-02-14,22,0.06027397260273973,79,0.15386565629558355,-0.46560857584363236,2.6546335693047336,0.004231335336022379
2023-02-14,23,0.06301369863013699,71,0.15425799341754504,-0.46186852020018615,2.82075411423564,0.004430038950523673
2023-02-14,24,0.06575342465753424,130,0.15794393945656787,-0.4747336362197945,2.7004142212916293,0.0057907597612756895
2023-02-14,27,0.07397260273972603,96,0.15391084416520373,-0.4747357258929271,2.5233055096866743,0.004593327458947537
2023-02-14,28,0.07671232876712329,47,0.1632874109554654,-0.4627925410660892,2.348012067234214,0.006756359175388365
2023-02-14,29,0.07945205479452055,46,0.16583129647764672,-0.5269357704653834,2.173994585080953,0.004337769165403787
2023-02-14,30,0.0821917808219178,52,0.1652881183299542,-0.5329185512890197,2.4223879562952964,0.005017504011538465
2023-02-14,31,0.08493150684931507,533,0.14879938066219756,-0.4330650962909584,3.0,0.01807292656074714
2023-02-14,34,0.09315068493150686,50,0.16113883570199095,-0.5219498177177933,2.255154939437489,0.004322536066584406
2023-02-14,38,0.10410958904109589,135,0.17348357611951964,-0.6070344748362975,2.10925150607895,0.003117667845886214
2023-02-14,45,0.1232876712328767,315,0.16441838771077824,-0.5655035091140822,2.2322863461118154,0.006843096031004716
2023-02-14,59,0.16164383561643836,87,0.16760869385776458,-0.6225845740063529,2.035786062721487,0.006000666352749054
2023-02-14,66,0.18082191780821918,560,0.16254010074684289,-0.6276520570870485,2.1648667322704718,0.011520023198645904
2023-02-14,73,0.2,285,0.16023234704689002,-0.6060366319663698,2.1543160698118475,0.013028335637082536
2023-02-14,94,0.25753424657534246,510,0.1674739029686706,-0.6527753215671672,1.7799360954816474,0.008265352208017435
2023-02-14,106,0.29041095890410956,158,0.16733555569876962,-0.6541761077389389,1.604973627478068,0.0056192219130114214
2023-02-14,122,0.33424657534246577,469,0.17144070973678294,-0.6854419745967294,1.563381189204007,0.007302061780287731
2023-02-14,136,0.3726027397260274,318,0.16516931644322747,-0.6135010070528779,1.6220334693032052,0.010366918651695414
2023-02-14,157,0.4301369863013699,202,0.16982403405811802,-0.6905350784446959,1.5107217938505393,0.010922811376286866
2023-02-14,167,0.4575342465753425,126,0.16565166042503374,-0.6221889050231427,1.550988972148558,0.010563363424470824
2023-02-14,185,0.5068493150684932,123,0.17083377785775836,-0.705427144218777,1.3788664211140214,0.010366077668064525
2023-02-15,2,0.005479452054794521,148,0.40618751670874015,0.1,3.0,0.34898307636604947
2023-02-15,6,0.01643835616438356,69,0.1318186269156209,0.1,3.0,0.05073867947835804
2023-02-15,7,0.019178082191780823,67,0.1284512614012315,0.1,3.0,0.023153734317911772
2023-02-15,8,0.021917808219178082,86,0.14043716174293677,0.1,3.0,0.03128233544418738
2023-02-15,9,0.024657534246575342,106,0.14056602532202284,-0.0349707164030309,3.0,0.0266110078211604
2023-02-15,12,0.03287671232876712,88,0.1274174528222872,-0.050778892609698194,3.0,0.01639891179956072
2023-02-15,13,0.03561643835616438,138,0.12649024435080894,-0.1340803155635263,3.0,0.020510081946856443
2023-02-15,14,0.038356164383561646,88,0.1344712333216406,-0.20587276584762237,2.745838925688663,0.01137241520962984
2023-02-15,15,0.0410958904109589,93,0.13841280632361583,-0.1866344688964031,3.0,0.012971523366392495
2023-02-15,16,0.043835616438356165,124,0.1390041166492435,-0.3110605204034007,2.6453399471801715,0.012765558877616899
2023-02-15,19,0.052054794520547946,102,0.13463213921477316,-0.22518546010888144,2.460043732022214,0.011408294492777443
2023-02-15,20,0.0547945205479452,82,0.13930283519396694,-0.26014020821356865,2.6657914730113714,0.011931934653424042
2023-02-15,21,0.057534246575342465,79,0.14835625942747233,-0.32502315090321965,1.9825744992005299,0.012373131935303415
2023-02-15,22,0.06027397260273973,71,0.14624595099767207,-0.3483847538208212,2.437225249031423,0.00802274875217107
2023-02-15,23,0.06301369863013699,130,0.15108821114045176,-0.3254292633206353,2.1341398433434398,0.013657355634449081
2023-02-15,26,0.07123287671232877,96,0.14656851836026363,-0.39434938009744425,2.1820010083214703,0.007936595792784462
2023-02-15,27,0.07397260273972603,71,0.15640416401738397,-0.3554225793004847,1.9944311333415679,0.011420043877865271
2023-02-15,28,0.07671232876712329,47,0.15858303479582583,-0.44536647041672656,1.8751798073345132,0.008478476893383241
2023-02-15,29,0.07945205479452055,52,0.1611585794087131,-0.35863987059191665,1.7621931056244047,0.014968349462549645
2023-02-15,30,0.0821917808219178,533,0.13749919870786342,-0.2603689857990628,2.766588828304099,0.025817378569171354
2023-02-15,33,0.09041095890410959,50,0.15525728789772966,-0.4151468820619188,1.8819328969423463,0.008869311645854893
2023-02-15,37,0.10136986301369863,136,0.16681450272215723,-0.5253013040124275,1.8464474445991577,0.009358413171812421
2023-02-15,44,0.12054794520547946,315,0.16091391023683013,-0.4592460634130715,1.8021640603104672,0.014941587618035941
2023-02-15,58,0.1589041095890411,87,0.16717787521019975,-0.6243779020392809,1.6059937517627123,0.004754641790653907
2023-02-15,65,0.1780821917808219,560,0.15980107014909103,-0.5661571020035242,1.8994479721788038,0.008895270005384558
2023-02-15,72,0.19726027397260273,285,0.16140940695164402,-0.6314412300116593,1.8129214485189264,0.00577328957430813
2023-02-15,93,0.2547945205479452,510,0.16600289209961544,-0.6010562751654891,1.543370800640344,0.009040063748231159
2023-02-15,105,0.2876712328767123,158,0.16851054997244708,-0.6867160674773937,1.3185017735813314,0.005232153476835892
2023-02-15,121,0.3315068493150685,469,0.17012665015094544,-0.64906985127,1.3530865033452109,0.007134332727971596
2023-02-15,135,0.3698630136986301,318,0.17106542208198636,-0.6960334295120533,1.3144797665619556,0.00595071818962953
2023-02-15,156,0.4273972602739726,202,0.1699589134950788,-0.6894642010259366,1.3400285649866652,0.005301744388799592
2023-02-15,166,0.4547945205479452,126,0.17486221476486455,-0.7284735529560354,1.164707501447183,0.00518755121145219
2023-02-15,184,0.5041095890410959,123,0.17311251724271537,-0.7069039969628743,1.1901478856379455,0.007272620566548561
2023-02-16,5,0.0136986301369863,71,0.15315446308568192,0.1,3.0,0.06563296083694735
2023-02-16,6,0.01643835616438356,73,0.15928054360498745,-0.19397995185519046,3.0,0.034389181631739055
2023-02-16,7,0.019178082191780823,125,0.2654592410199726,-0.9123128173509175,3.0,0.22063315287318636
2023-02-16,8,0.021917808219178082,162,0.2028553411319501,-0.5923784895276833,3.0,0.04567837093811215
2023-02-16,11,0.030136986301369864,102,0.16075593604578392,-0.4359518102753066,3.0,0.020770213993762582
2023-02-16,12,0.03287671232876712,159,0.16250955263963632,-0.3827203277624671,3.0,0.025819078074672194
2023-02-16,13,0.03561643835616438,94,0.16288486876951364,-0.5225302895458829,3.0,0.011503523741449214
2023-02-16,14,0.038356164383561646,100,0.16798369120349488,-0.4545483239324038,3.0,0.01970037464676212
2023-02-16,15,0.0410958904109589,151,0.17102591074331233,-0.6167235336175313,3.0,0.013489826436129844
2023-02-16,18,0.049315068493150684,109,0.15477784793739238,-0.50746882456654,3.0,0.007904100342465014
2023-02-16,19,0.052054794520547946,86,0.15982715993890945,-0.47451456133022973,3.0,0.009779032929751855
2023-02-16,20,0.0547945205479452,93,0.1609204400872046,-0.5471223789483424,3.0,0.004242496731685913
